subject,decoder,threshold,coverage,risk,accuracy
6,LDA,0.15,1.0,0.75,0.25
6,LDA,0.2,1.0,0.75,0.25
6,LDA,0.25,1.0,0.75,0.25
6,LDA,0.3,1.0,0.75,0.25
6,LDA,0.35,1.0,0.75,0.25
6,LDA,0.4,1.0,0.75,0.25
6,LDA,0.45,0.9965277777777778,0.7491289198606271,0.2508710801393728
6,LDA,0.5,0.8819444444444444,0.7204724409448819,0.2795275590551181
6,LDA,0.55,0.4131944444444444,0.6470588235294118,0.35294117647058826
6,LDA,0.6,0.05555555555555555,0.625,0.375
6,LDA,0.65,0.0,,
6,LDA,0.7,0.0,,
6,LDA,0.75,0.0,,
6,LDA,0.8,0.0,,
6,LDA,0.85,0.0,,
6,LDA,0.9,0.0,,
6,LDA,0.95,0.0,,
6,LDA,1.0,0.0,,
7,LDA,0.0,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.05,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.1,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.15,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.2,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.25,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.3,1.0,0.6284722222222222,0.3715277777777778
7,LDA,0.35,0.9479166666666666,0.6117216117216118,0.3882783882783883
7,LDA,0.4,0.4722222222222222,0.41911764705882354,0.5808823529411765
7,LDA,0.45,0.24305555555555555,0.24285714285714285,0.7571428571428571
7,LDA,0.5,0.1076388888888889,0.03225806451612903,0.967741935483871
7,LDA,0.55,0.03125,0.0,1.0
7,LDA,0.6,0.0,,
7,LDA,0.65,0.0,,
7,LDA,0.7,0.0,,
7,LDA,0.75,0.0,,
7,LDA,0.8,0.0,,
7,LDA,0.85,0.0,,
7,LDA,0.9,0.0,,
7,LDA,0.95,0.0,,
7,LDA,1.0,0.0,,
8,LDA,0.0,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.05,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.1,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.15,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.2,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.25,1.0,0.3854166666666667,0.6145833333333334
8,LDA,0.3,0.9618055555555556,0.37184115523465705,0.628158844765343
8,LDA,0.35,0.8194444444444444,0.326271186440678,0.673728813559322
8,LDA,0.4,0.5520833333333334,0.2893081761006289,0.710691823899371
8,LDA,0.45,0.2881944444444444,0.25301204819277107,0.7469879518072289
8,LDA,0.5,0.1284722222222222,0.21621621621621623,0.7837837837837838
8,LDA,0.55,0.08333333333333333,0.16666666666666666,0.8333333333333334
8,LDA,0.6,0.04513888888888889,0.15384615384615385,0.8461538461538461
8,LDA,0.65,0.013888888888888888,0.25,0.75
8,LDA,0.7,0.003472222222222222,0.0,1.0
8,LDA,0.75,0.0,,
8,LDA,0.8,0.0,,
8,LDA,0.85,0.0,,
8,LDA,0.9,0.0,,
8,LDA,0.95,0.0,,
8,LDA,1.0,0.0,,
9,LDA,0.0,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.05,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.1,1.0,0.6174242424242424,0.38257575757575757
